% 1. Title of Database: Annealing Data
%
% 2. Source Information: donated by David Sterling and Wray Buntine.
%
% 3. Past Usage: unknown
%
% 4. Relevant Information:
%    -- Explanation: I suspect this was left by Ross Quinlan in 1987 at the
%       4th Machine Learning Workshop.  I'd have to check with Jeff Schlimmer
%       to double check this.
%
% 5. Number of Instances: 798
%
% 6. Number of Attributes: 38
%    -- 6 continuously-valued
%    -- 3 integer-valued
%    -- 29 nominal-valued
%
% 7. Attribute Information:
%     1. family:          --,GB,GK,GS,TN,ZA,ZF,ZH,ZM,ZS
%     2. product-type:    C, H, G
%     3. steel:           -,R,A,U,K,M,S,W,V
%     4. carbon:          continuous
%     5. hardness:        continuous
%     6. temper_rolling:  -,T
%     7. condition:       -,S,A,X
%     8. formability:     -,1,2,3,4,5
%     9. strength:        continuous
%    10. non-ageing:      -,N
%    11. surface-finish:  P,M,-
%    12. surface-quality: -,D,E,F,G
%    13. enamelability:   -,1,2,3,4,5
%    14. bc:              Y,-
%    15. bf:              Y,-
%    16. bt:              Y,-
%    17. bw/me:           B,M,-
%    18. bl:              Y,-
%    19. m:               Y,-
%    20. chrom:           C,-
%    21. phos:            P,-
%    22. cbond:           Y,-
%    23. marvi:           Y,-
%    24. exptl:           Y,-
%    25. ferro:           Y,-
%    26. corr:            Y,-
%    27. blue/bright/varn/clean:          B,R,V,C,-
%    28. lustre:          Y,-
%    29. jurofm:          Y,-
%    30. s:               Y,-
%    31. p:               Y,-
%    32. shape:           COIL, SHEET
%    33. thick:           continuous
%    34. width:           continuous
%    35. len:             continuous
%    36. oil:             -,Y,N
%    37. bore:            0000,0500,0600,0760
%    38. packing: -,1,2,3
%    classes:        1,2,3,4,5,U
%
%    -- The '-' values are actually 'not_applicable' values rather than
%       'missing_values' (and so can be treated as legal discrete
%       values rather than as showing the absence of a discrete value).
%
% 8. Missing Attribute Values: Signified with "?"
%    Attribute:  Number of instances missing its value:
%    1           0
%    2           0
%    3           70
%    4           0
%    5           0
%    6           675
%    7           271
%    8           283
%    9           0
%   10           703
%   11           790
%   12           217
%   13           785
%   14           797
%   15           680
%   16           736
%   17           609
%   18           662
%   19           798
%   20           775
%   21           791
%   22           730
%   23           798
%   24           796
%   25           772
%   26           798
%   27           793
%   28           753
%   29           798
%   30           798
%   31           798
%   32           0
%   33           0
%   34           0
%   35           0
%   36           740
%   37           0
%   38           789
%   39           0
%
% 9. Distribution of Classes
%      Class Name:   Number of Instances:
%      1               8
%      2              88
%      3             608
%      4               0
%      5              60
%      U              34
%                    ---
%                    798
%
@RELATION anneal

@ATTRIBUTE ID NUMERIC
@ATTRIBUTE family {GB, GK, GS, TN, ZA, ZF, ZH, ZM, ZS}
@ATTRIBUTE product-type {C, H, G}
@ATTRIBUTE steel {R, A, U, K, M, S, W, V}
@ATTRIBUTE carbon REAL
@ATTRIBUTE hardness REAL
@ATTRIBUTE temper_rolling {T}
@ATTRIBUTE condition {S, A, X}
@ATTRIBUTE formability {1, 2, 3, 4, 5}
@ATTRIBUTE strength REAL
@ATTRIBUTE non-ageing {N}
@ATTRIBUTE surface-finish {P, M}
@ATTRIBUTE surface-quality {D, E, F, G}
@ATTRIBUTE enamelability {1, 2, 3, 4, 5}
@ATTRIBUTE bc {Y}
@ATTRIBUTE bf {Y}
@ATTRIBUTE bt {Y}
@ATTRIBUTE "bw%2Fme" {B, M}
@ATTRIBUTE bl {Y}
@ATTRIBUTE m {Y}
@ATTRIBUTE chrom {C}
@ATTRIBUTE phos {P}
@ATTRIBUTE cbond {Y}
@ATTRIBUTE marvi {Y}
@ATTRIBUTE exptl {Y}
@ATTRIBUTE ferro {Y}
@ATTRIBUTE corr {Y}
@ATTRIBUTE "blue%2Fbright%2Fvarn%2Fclean" {B, R, V, C}
@ATTRIBUTE lustre {Y}
@ATTRIBUTE jurofm {Y}
@ATTRIBUTE s {Y}
@ATTRIBUTE p {Y}
@ATTRIBUTE shape {COIL, SHEET}
@ATTRIBUTE thick REAL
@ATTRIBUTE width REAL
@ATTRIBUTE len REAL
@ATTRIBUTE oil {Y, N}
@ATTRIBUTE bore {0, 500, 600, 760}
@ATTRIBUTE packing {1, 2, 3}
@ATTRIBUTE class {1, 2, 3, 4, 5, U}

@DATA
150,TN,C,A,0.0,60.0,T,S,3,0.0,N,?,G,?,?,Y,Y,B,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,COIL,0.8,710.1,0.0,Y,0,?,3
151,ZS,C,A,0.0,50.0,T,S,3,0.0,N,?,E,?,?,Y,Y,B,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,COIL,0.6,610.0,0.0,Y,0,?,3
152,ZS,C,R,0.0,0.0,T,S,3,500.0,N,?,E,?,?,Y,Y,B,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,COIL,1.6,1320.0,0.0,Y,0,?,3
157,ZS,C,A,0.0,85.0,T,S,3,0.0,N,?,G,?,?,Y,Y,M,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,COIL,3.201,1000.0,0.0,Y,600,?,U
162,ZS,C,R,0.0,0.0,T,S,2,0.0,N,?,E,?,?,Y,Y,M,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,COIL,0.7,1320.0,0.0,Y,0,?,3
171,ZS,C,A,0.0,0.0,T,S,2,0.0,N,?,E,?,?,Y,Y,M,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,COIL,3.2,1320.0,0.0,Y,0,?,3
180,ZS,C,A,0.0,85.0,T,S,2,0.0,N,?,G,?,?,Y,Y,M,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,COIL,3.2,609.9,0.0,Y,0,?,U
183,ZS,C,A,0.0,0.0,T,S,2,0.0,N,?,E,?,?,Y,Y,B,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,SHEET,1.599,1300.0,4880.0,Y,0,?,3
186,ZS,C,A,0.0,0.0,T,A,2,0.0,N,?,G,?,?,Y,Y,B,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,SHEET,0.301,610.0,4880.0,Y,0,?,3
190,ZS,C,K,65.0,0.0,T,A,2,0.0,N,?,G,?,?,Y,Y,M,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,COIL,1.5,640.0,0.0,Y,0,?,3
194,ZS,C,R,0.0,0.0,T,S,2,0.0,N,?,E,?,?,Y,Y,M,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,COIL,3.2,1320.0,0.0,Y,0,?,3
197,ZS,C,A,0.0,0.0,T,S,2,0.0,N,?,F,?,?,Y,Y,B,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,SHEET,0.6,610.0,4880.0,Y,0,?,3
202,ZS,C,A,0.0,50.0,T,S,2,0.0,N,?,E,?,?,Y,Y,B,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,COIL,0.6,1250.0,0.0,Y,0,?,3
207,ZS,C,R,0.0,0.0,T,S,2,0.0,N,?,E,?,?,Y,Y,B,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,SHEET,0.3,595.0,4880.0,Y,0,?,3
219,ZS,C,R,0.0,0.0,T,A,2,0.0,N,?,G,?,?,Y,Y,B,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,SHEET,0.301,1320.0,4880.0,Y,0,?,3
224,ZS,C,M,0.0,0.0,T,A,2,600.0,N,?,G,?,?,Y,Y,B,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,SHEET,0.9,610.0,1220.0,Y,0,?,2
225,ZS,C,R,0.0,0.0,T,S,2,0.0,N,?,E,?,?,Y,Y,B,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,SHEET,3.2,1300.0,762.0,Y,0,?,3
226,ZS,C,M,0.0,0.0,T,S,2,350.0,N,?,G,?,?,Y,Y,B,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,COIL,1.399,609.9,0.0,Y,0,?,3
229,ZS,C,R,0.0,0.0,T,S,2,0.0,N,?,E,?,?,Y,Y,B,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,COIL,0.7,1220.0,0.0,Y,0,?,3
232,ZS,C,A,0.0,0.0,T,S,2,0.0,N,?,F,?,?,Y,Y,B,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,SHEET,0.699,610.0,400.0,Y,0,?,3
233,ZS,C,A,0.0,45.0,T,S,2,0.0,N,?,D,?,?,Y,Y,B,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,SHEET,1.6,1320.0,612.0,Y,0,?,3
246,ZS,C,R,0.0,0.0,T,S,3,0.0,N,?,D,?,?,Y,Y,B,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,SHEET,0.8,1320.0,762.0,Y,0,?,2
253,ZS,C,R,6.0,0.0,T,S,3,0.0,N,?,D,?,?,Y,Y,B,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,SHEET,1.0,610.0,4880.0,Y,0,?,3
255,ZS,C,K,45.0,0.0,T,S,3,0.0,N,?,D,?,?,Y,Y,B,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,COIL,0.6,900.0,0.0,Y,0,?,3
258,TN,C,A,0.0,0.0,T,S,3,0.0,N,?,D,?,?,Y,Y,B,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,COIL,0.6,50.0,0.0,Y,0,?,5
262,TN,C,R,0.0,0.0,T,S,2,0.0,N,?,D,?,?,Y,Y,B,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,SHEET,0.8,610.0,4880.0,Y,0,?,2
267,TN,C,A,0.0,85.0,T,S,2,0.0,N,?,G,?,?,Y,Y,B,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,SHEET,0.3,1220.0,762.0,Y,0,?,U
279,TN,C,A,0.0,0.0,T,S,3,0.0,N,?,F,?,?,Y,Y,B,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,SHEET,1.2,610.0,4170.0,Y,0,?,3
282,TN,C,R,0.0,0.0,T,S,2,0.0,N,?,E,?,?,Y,Y,B,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,SHEET,3.2,150.0,762.0,Y,0,?,3
283,TN,C,M,0.0,0.0,T,S,2,600.0,N,?,G,?,?,Y,Y,B,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,SHEET,1.299,1050.0,1220.0,Y,0,?,2
293,TN,C,M,0.0,70.0,T,S,2,0.0,N,?,G,?,?,Y,Y,B,Y,?,C,?,Y,?,?,?,?,V,Y,?,?,?,COIL,0.8,50.0,0.0,Y,0,?,3
297,TN,C,M,0.0,0.0,T,A,1,0.0,N,?,G,?,?,Y,Y,B,Y,?,C,?,Y,?,?,Y,?,V,Y,?,?,?,SHEET,0.5,609.9,3000.0,Y,0,?,5
301,TN,C,R,0.0,0.0,T,S,2,0.0,N,?,E,?,?,Y,Y,B,Y,?,C,?,Y,?,?,Y,?,V,Y,?,?,?,SHEET,0.301,610.0,762.0,Y,0,?,3
303,TN,C,R,0.0,0.0,T,S,2,0.0,N,?,E,?,?,Y,Y,B,Y,?,C,?,Y,?,?,Y,?,V,Y,?,?,?,SHEET,0.8,1500.0,4170.0,Y,0,?,2
317,TN,C,A,0.0,0.0,T,S,2,0.0,N,?,E,?,?,Y,Y,B,Y,?,C,?,Y,?,?,Y,?,V,Y,?,?,?,COIL,0.7,610.0,0.0,Y,0,3,3
322,TN,C,A,0.0,50.0,T,S,2,0.0,N,?,G,?,?,Y,Y,B,Y,?,C,?,Y,?,?,Y,?,V,Y,?,?,?,COIL,0.601,610.0,0.0,Y,0,3,3
325,TN,C,K,65.0,0.0,T,S,2,0.0,N,?,G,?,?,Y,Y,M,Y,?,C,?,Y,?,?,Y,?,V,Y,?,?,?,COIL,2.3,900.0,0.0,Y,600,3,3
347,TN,C,R,0.0,0.0,T,S,2,0.0,N,?,E,?,?,Y,Y,M,Y,?,C,?,Y,?,?,Y,?,V,Y,?,?,?,COIL,3.201,385.1,0.0,Y,0,3,3
348,TN,C,R,0.0,0.0,T,S,2,0.0,N,?,E,?,?,Y,Y,M,Y,?,C,?,Y,?,?,Y,?,V,Y,?,?,?,SHEET,1.6,500.0,4880.0,Y,0,3,3
358,ZS,C,A,0.0,85.0,T,S,2,0.0,N,?,E,?,?,Y,Y,M,Y,?,C,?,Y,?,?,Y,?,V,Y,?,?,?,SHEET,1.2,1200.0,611.0,Y,0,3,U
364,ZS,C,R,0.0,0.0,T,S,2,300.0,N,?,E,?,?,Y,Y,M,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,COIL,0.8,915.0,0.0,Y,0,3,1
373,TN,C,R,0.0,0.0,T,A,1,0.0,N,?,E,?,?,Y,Y,M,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,SHEET,0.5,609.9,612.0,Y,0,3,5
374,TN,C,R,0.0,0.0,T,S,2,0.0,N,?,E,?,?,Y,Y,M,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,SHEET,1.599,1500.0,612.0,Y,0,3,2
376,TN,C,A,0.0,0.0,T,S,3,0.0,N,?,G,?,?,Y,Y,M,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,COIL,2.5,1320.0,0.0,Y,0,3,3
384,TN,C,R,0.0,0.0,T,S,2,0.0,N,?,E,?,?,Y,Y,M,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,COIL,3.2,610.0,0.0,Y,0,3,3
386,TN,C,A,0.0,45.0,T,S,2,0.0,N,?,D,?,?,Y,Y,M,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,SHEET,0.7,1320.0,762.0,Y,0,3,3
400,TN,C,R,6.0,0.0,T,S,2,0.0,N,?,D,?,?,Y,Y,M,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,SHEET,0.6,610.0,762.0,Y,0,3,3
402,TN,C,M,0.0,0.0,T,S,2,350.0,N,?,G,?,?,Y,Y,M,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,COIL,0.9,610.0,0.0,Y,0,3,3
403,TN,C,R,0.0,0.0,T,S,2,0.0,N,?,G,?,?,Y,Y,M,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,SHEET,1.599,610.0,4880.0,Y,0,3,2
410,TN,C,A,0.0,0.0,T,S,2,0.0,N,?,E,?,?,Y,Y,M,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,COIL,0.7,20.0,0.0,Y,0,3,3
414,TN,C,A,0.0,0.0,T,S,2,0.0,N,?,E,?,?,Y,Y,M,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,SHEET,0.3,610.0,762.0,Y,0,3,3
415,TN,C,A,0.0,45.0,T,S,2,0.0,N,?,D,?,?,Y,Y,M,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,SHEET,0.599,1320.0,761.0,Y,0,3,3
419,TN,C,K,65.0,0.0,T,S,2,0.0,N,?,D,?,?,Y,Y,M,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,COIL,0.8,900.0,0.0,Y,0,3,3
421,TN,C,V,0.0,0.0,T,S,2,0.0,N,?,D,2,?,Y,Y,M,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,SHEET,1.599,1320.0,762.0,Y,0,3,2
437,TN,C,K,55.0,0.0,T,S,2,0.0,N,?,D,2,?,Y,Y,M,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,COIL,2.2,900.0,0.0,Y,0,3,3
438,ZS,C,A,0.0,0.0,T,S,5,0.0,N,?,E,2,?,Y,Y,M,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,COIL,1.201,50.0,0.0,Y,0,3,3
441,ZS,C,R,0.0,0.0,T,S,2,0.0,N,?,E,2,?,Y,Y,M,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,SHEET,0.8,610.0,762.0,Y,0,3,2
452,ZS,C,A,0.0,0.0,T,S,3,0.0,N,?,E,2,?,Y,Y,M,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,SHEET,1.0,1320.0,762.0,Y,0,3,3
463,ZS,C,R,0.0,0.0,T,S,2,0.0,N,?,E,2,?,Y,Y,M,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,SHEET,0.8,1500.0,4170.0,Y,0,3,2
469,ZS,C,A,0.0,0.0,T,S,2,0.0,N,?,F,2,?,Y,Y,B,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,SHEET,0.6,609.9,4880.0,Y,0,3,3
472,ZS,C,A,0.0,0.0,T,S,1,0.0,N,?,G,2,?,Y,Y,B,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,COIL,0.3,609.9,0.0,Y,0,3,3
480,ZS,C,K,45.0,0.0,T,S,1,0.0,N,?,G,2,?,Y,Y,M,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,COIL,2.2,640.0,0.0,Y,0,3,3
488,ZS,C,K,45.0,0.0,T,S,1,0.0,N,?,G,2,?,Y,Y,M,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,COIL,3.2,900.0,0.0,Y,0,3,3
496,ZS,C,A,0.0,45.0,T,S,1,0.0,N,?,D,2,?,Y,Y,M,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,SHEET,0.7,609.9,3000.0,Y,0,3,3
503,ZS,C,R,0.0,0.0,T,S,2,0.0,N,?,E,2,?,Y,Y,M,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,SHEET,3.2,610.0,4880.0,Y,0,3,3
505,ZS,C,A,0.0,0.0,T,S,3,0.0,N,?,E,2,?,Y,Y,M,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,COIL,0.6,609.0,0.0,Y,0,3,3
509,ZS,C,R,0.0,0.0,T,S,2,0.0,N,?,E,2,?,Y,Y,B,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,SHEET,1.599,1300.0,4880.0,Y,0,3,2
511,ZS,C,R,0.0,0.0,T,S,2,0.0,N,?,E,2,?,Y,Y,B,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,COIL,0.699,1320.0,0.0,Y,0,3,3
515,ZS,C,A,0.0,0.0,T,S,2,0.0,N,?,G,2,?,Y,Y,B,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,COIL,0.3,610.0,0.0,Y,0,3,3
517,ZS,C,A,0.0,0.0,T,S,2,0.0,N,?,E,2,?,Y,Y,B,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,SHEET,0.7,610.0,762.0,Y,0,3,3
550,ZS,C,R,0.0,0.0,T,S,2,0.0,N,?,E,2,?,Y,Y,B,Y,?,C,?,Y,?,Y,Y,?,V,Y,?,?,?,SHEET,0.7,1320.0,762.0,Y,0,3,3
571,ZS,C,R,0.0,0.0,T,S,2,500.0,N,P,E,2,?,Y,Y,B,Y,?,C,?,Y,?,Y,Y,?,B,Y,?,?,?,SHEET,2.0,300.1,301.0,Y,0,3,2
579,ZS,C,A,0.0,0.0,T,S,2,0.0,N,P,G,2,?,Y,Y,B,Y,?,C,?,Y,?,Y,Y,?,B,Y,?,?,?,COIL,0.699,20.0,0.0,Y,0,3,3
